,Network,Biome
0,Gulf of Mexico (1950),Gulf
1,Looe Key National Marine Sanctuary (1980),Marine
2,Paraná River Floodplain (1992),River
3,Cypress Wet Season,Marine
4,Icelandic shelf (1997),Coast
5,Baie de Seine (2000),Coast
6,Northern Gulf of Mexico (2005),Gulf
7,Iceland (1950),Marine
8,Sri Lanka (2000),Marine
9,Ria-Lake Tapajos (2013),Lake
10,Bay of Biscay (1970),Coast
11,Falkland Islands (1990),Marine
12,Sítios Novos reservoir (2011),Lake
13,Middle Chesapeake Bay,Coast
14,Jalisco and Colima Coast (1995),Coast
15,Sechura Bay (1996),Coast
16,"Shallow sublittoral, Cape Ann, Massachusetts",Coast
17,East Bass Strait (1994),Marine
18,West Florida Shelf Historic Model (1950),Coast
19,Malangen Fjord (2017),Coast
20,North South of China Sea (1970),Marine
21,Bamboung (2003),Marine
22,Crystal River Creek - Control,River
23,"Greenland, West Coast (1997)",Coast
24,Narragansett Bay Model,Coast
25,Calvi Bay (1998),Coast
26,Central Chile (1998),Marine
27,Cape Verde (1981),Marine
28,Mangrove Estuary - Dry Season,River
29,Strait of Georgia (1950),Marine
30,Deep Western Mediterranean sea (2009),Marine
31,Eastern Corsican Coast (2012),Coast
32,West scotland DeepSea (1974),Marine
33,Gulf of California (1990),Gulf
34,Northern Gulf of St Lawrence (1990),Gulf
35,Peru (1960),Marine
36,Sinaloa sur MEXICO (1994),Marine
37,"USA, South Atlantic Continental Shelf (1995)",Coast
38,Celtic Sea-Biscay (1980),Marine
39,Mauritania (1987),Marine
40,Central Atlantic (1990),Marine
41,Central Baltic Sea (1974),Marine
42,Sierra Leone 1978 (1978),Marine
43,Tampa Bay (1950),Coast
44,West Florida Shelf (1985),Coast
45,"Sand beach, South Africa",Marine
46,Terminos Lagoon (1980),Lake
47,Contemporary Alosine (2000),Marine
48,Sierra Leone (1964),Marine
49,"Denmark, Faroe Islands (1997)",Marine
50,Aegean Sea (2003),Marine
51,West coast of Sabah (1972),Coast
52,Hudson Bay (1970),Coast
53,Lake Michigan,Lake
54,Tasmanian Seamounts Marine Reserve (1992),Marine
55,Independence Bay (1996),Coast
56,Western Antarctic Peninsula (1996),Marine
57,Mondego Estuary - Zostrea site,River
58,"Lake Pyhajarvi, littoral zone, Finland",Lake
59,Central Atlantic (1950),Marine
60,Florida Bay - dry season,Coast
61,"Lake Paajarvi, littoral zone, Finland",Lake
62,Lower Chesapeake Bay,Coast
63,Cerbère-Banyuls MPA (2013),Marine
64,Cypress Dry Season,Swap
65,Celtic Sea (1985),Marine
66,Bay of Biscay (2013),Coast
67,Kaloko Honokohau (2005),Marine
68,Florida Bay (2006),Coast
69,"West Baffin Bay, Coastal and Shelf (2016)",Coast
70,Albatross Bay (1986),Coast
71,South Shetlands (1990),Marine
72,North Sea (1981),Marine
73,Barra Del Chuy (1992),River
74,Restored Alosine Biomass (2000),Marine
75,Gulf of Thailande (1963),Gulf
76,North Benguela (1900),Marine
77,Gulf of Gabes (2000),Gulf
78,Sirinhaém River (2013),River
79,Bay of Biscay (1998),Coast
80,Raja Ampat (2005),Marine
81,Port Cros (1998),Marine
82,Humboldt Current (1995),Marine
83,Medes Island MPA (2000),Marine
84,North Sea (1974),Marine
85,Alto Golfo de California (0),Marine
86,Bay of Biscay (1994),Coast
87,Thermaikos Gulf (1998),Gulf
88,Northern Benguela (1956),Marine
89,Australia North West Shelf (1986),Coast
90,Aleutian Islands (1963),Marine
91,Chesapeake (1950),Coast
92,Galapagos (2006),Marine
93,Celtic Sea (2013),Marine
94,Chesapeake Bay Mesohaline,Coast
95,North Atlantic (1950),Marine
96,Northern Gulf St Lawrence (1985),Gulf
97,"Little Rock Lake, Wisconsin",Lake
98,Western Channel (1973),Marine
99,Antarctic (1970),Marine
100,Bamboung (2006),Marine
101,Virgin Islands (1960),Marine
102,St. Marks River (Florida),River
103,Florida Bay - wet season,Marine
104,Santa Pola Bay (2001),Coast
105,"Tropical plankton community, Pacific",Marine
106,Upper Chesapeake Bay,Coast
107,Barnegat Bay (1981),Coast
108,Prince William Sound (1994),Marine
109,Central Gulf of California (1978),Gulf
110,"Ythan estuary, Aberdeenshire, Scotland",River
111,Irish Sea (1973),Marine
112,Jurien Bay (2007),Coast
113,Northern British Columbia (2000),Marine
114,North Benguela (1990),Marine
115,Mount St Michel Bay (2003),Coast
116,Azores archipelago (1997),Marine
117,Azores (1997),Marine
118,Mauritanie  (1991),Marine
119,Huizache-Caimanero (1984),Marine
120,Northern British Columbia (1950),Marine
121,"USA, Mid Atlantic Bight (1995)",Marine
122,Northern Humboldt Current (1997),Marine
123,South Benguela (1978),Marine
124,Sørfjord (1993),Coast
125,Sierra Leone (1990),Marine
126,Raja Ampat (1990),Marine
127,Mangrove Estuary - Wet Season,Marine
128,Apalachicola Bay (2000),Coast
129,South of Benguela (1960),Marine
130,Morocco (1985),Marine
131,"Tasek Bera swamp, Malaysia",Swap
132,Northern Californian Current (1960),Marine
133,Port Phillip Bay (1994),Coast
134,"River Rheido, Wales",River
135,Mauritania (1998),Marine
136,"Galapagos, Floreana rocky reef (2000)",Marine
137,Everglades Graminoids,Swap
138,South East Alaska (1963),Marine
139,"Swamp, south Florida",Swap
140,Sonda_Campeche_Act (1988),Marine
141,"Salt meadow, New Zealand",Swap
142,Celtic Sea (1980),Marine
143,North Atlantic (1997),Marine
144,Crystal River Creek - Delta Temp,River
145,South Benguela (1600),Marine
146,Western Tropical Pacific Ocean (1990),Marine
147,North East Pacific (1950),Marine
148,West Scotland (2000),Marine
149,Western Channel (1993),Marine
150,Gulf of Carpentaria (1990),Gulf
151,North Benguela (1967),Marine
152,Ningaloo (2007),Marine
153,Bay of Biscay (1980),Coast
154,Peru (1953),Marine
155,Guinea  (2004),Marine
156,Arctic seas,Marine
157,South western Gulf of Mexico (1970),Gulf
158,North Benguela (1600),Marine
159,Cap de Creus MPA - whole (2008),Marine
160,Celtic Sea-Biscay (2012),Marine
161,British Columbia coast (1950),Coast
162,"Tagus estuary, Portugal ",River
163,"Rocky shore, Monterey Bay, California",Coast
164,Guinea (1985),Marine
165,Bolinao Coral Reef (1980),Marine
166,Guinea (1998),Marine
167,Northern Californian Current (1990),Marine
168,Peru (1973),Marine
169,Yucatan (1987),Marine
170,South Benguela (1900),Marine
171,Lesser Antilles (2001),Marine
172,Charca de Maspalomas,River
